sehir,tahmin_tarihi,tahmini_ecopulse_skoru
Aydın,2027-01-15,53.48
Aydın,2027-04-15,52.2
Aydın,2027-07-15,44.83
Aydın,2027-10-15,49.56
Bilecik,2027-01-15,57.95
Bilecik,2027-04-15,50.05
Bilecik,2027-07-15,49.29
Bilecik,2027-10-15,49.92
Bursa,2027-01-15,57.82
Bursa,2027-04-15,53.93
Bursa,2027-07-15,50.15
Bursa,2027-10-15,52.56
Edirne,2027-01-15,55.79
Edirne,2027-04-15,50.66
Edirne,2027-07-15,48.08
Edirne,2027-10-15,51.33
İzmir,2027-01-15,55.68
İzmir,2027-04-15,51.51
İzmir,2027-07-15,46.52
İzmir,2027-10-15,51.9
Manisa,2027-01-15,55.26
Manisa,2027-04-15,51.3
Manisa,2027-07-15,44.76
Manisa,2027-10-15,49.23
Tekirdağ,2027-01-15,56.42
Tekirdağ,2027-04-15,50.89
Tekirdağ,2027-07-15,49.43
Tekirdağ,2027-10-15,52.08
Uşak,2027-01-15,56.14
Uşak,2027-04-15,51.67
Uşak,2027-07-15,46.15
Uşak,2027-10-15,48.03
Ağrı,2027-01-15,59.57
Ağrı,2027-04-15,59.43
Ağrı,2027-07-15,48.38
Ağrı,2027-10-15,50.97
Denizli,2027-01-15,56.0
Denizli,2027-04-15,51.54
Denizli,2027-07-15,45.45
Denizli,2027-10-15,51.18
Afyon,2027-01-15,59.0
Afyon,2027-04-15,52.15
Afyon,2027-07-15,49.28
Afyon,2027-10-15,49.66
Ankara,2027-01-15,56.72
Ankara,2027-04-15,49.62
Ankara,2027-07-15,47.6
Ankara,2027-10-15,50.98
Antalya,2027-01-15,61.04
Antalya,2027-04-15,58.22
Antalya,2027-07-15,49.15
Antalya,2027-10-15,53.53
Balıkesir,2027-01-15,57.9
Balıkesir,2027-04-15,51.45
Balıkesir,2027-07-15,48.79
Balıkesir,2027-10-15,51.94
Bartın,2027-01-15,54.59
Bartın,2027-04-15,53.68
Bartın,2027-07-15,47.59
Bartın,2027-10-15,47.6
Bolu,2027-01-15,55.02
Bolu,2027-04-15,50.29
Bolu,2027-07-15,48.6
Bolu,2027-10-15,47.7
Burdur,2027-01-15,56.46
Burdur,2027-04-15,50.26
Burdur,2027-07-15,45.52
Burdur,2027-10-15,49.67
Çanakkale,2027-01-15,62.1
Çanakkale,2027-04-15,58.03
Çanakkale,2027-07-15,54.85
Çanakkale,2027-10-15,57.87
Çorum,2027-01-15,56.37
Çorum,2027-04-15,49.71
Çorum,2027-07-15,48.12
Çorum,2027-10-15,49.35
Düzce,2027-01-15,56.49
Düzce,2027-04-15,52.77
Düzce,2027-07-15,48.76
Düzce,2027-10-15,50.34
Eskişehir,2027-01-15,57.87
Eskişehir,2027-04-15,51.68
Eskişehir,2027-07-15,46.23
Eskişehir,2027-10-15,50.32
Isparta,2027-01-15,58.99
Isparta,2027-04-15,51.97
Isparta,2027-07-15,48.72
Isparta,2027-10-15,49.19
İstanbul,2027-01-15,56.37
İstanbul,2027-04-15,52.9
İstanbul,2027-07-15,53.17
İstanbul,2027-10-15,53.46
Kırklareli,2027-01-15,56.6
Kırklareli,2027-04-15,52.67
Kırklareli,2027-07-15,49.83
Kırklareli,2027-10-15,51.71
Kocaeli,2027-01-15,57.18
Kocaeli,2027-04-15,50.57
Kocaeli,2027-07-15,50.82
Kocaeli,2027-10-15,50.26
Kütahya,2027-01-15,58.37
Kütahya,2027-04-15,52.29
Kütahya,2027-07-15,48.72
Kütahya,2027-10-15,49.67
Muğla,2027-01-15,57.63
Muğla,2027-04-15,54.43
Muğla,2027-07-15,50.26
Muğla,2027-10-15,53.45
Sakarya,2027-01-15,56.61
Sakarya,2027-04-15,52.06
Sakarya,2027-07-15,51.13
Sakarya,2027-10-15,51.32
Yalova,2027-01-15,54.47
Yalova,2027-04-15,54.46
Yalova,2027-07-15,52.78
Yalova,2027-10-15,53.81
Zonguldak,2027-01-15,53.42
Zonguldak,2027-04-15,50.34
Zonguldak,2027-07-15,46.43
Zonguldak,2027-10-15,46.66
Adıyaman,2027-01-15,55.47
Adıyaman,2027-04-15,51.46
Adıyaman,2027-07-15,42.1
Adıyaman,2027-10-15,46.64
Batman,2027-01-15,55.1
Batman,2027-04-15,52.28
Batman,2027-07-15,42.11
Batman,2027-10-15,46.28
Bingöl,2027-01-15,58.76
Bingöl,2027-04-15,57.78
Bingöl,2027-07-15,47.13
Bingöl,2027-10-15,48.56
Çankırı,2027-01-15,53.95
Çankırı,2027-04-15,50.29
Çankırı,2027-07-15,48.43
Çankırı,2027-10-15,51.56
Diyarbakır,2027-01-15,55.03
Diyarbakır,2027-04-15,54.56
Diyarbakır,2027-07-15,44.28
Diyarbakır,2027-10-15,48.94
Elazığ,2027-01-15,55.72
Elazığ,2027-04-15,51.42
Elazığ,2027-07-15,44.94
Elazığ,2027-10-15,49.77
Gaziantep,2027-01-15,55.12
Gaziantep,2027-04-15,50.29
Gaziantep,2027-07-15,42.68
Gaziantep,2027-10-15,47.1
Gümüşhane,2027-01-15,62.74
Gümüşhane,2027-04-15,59.34
Gümüşhane,2027-07-15,51.73
Gümüşhane,2027-10-15,53.44
Iğdır,2027-01-15,62.42
Iğdır,2027-04-15,56.63
Iğdır,2027-07-15,50.38
Iğdır,2027-10-15,53.52
Karabük,2027-01-15,54.32
Karabük,2027-04-15,51.83
Karabük,2027-07-15,49.99
Karabük,2027-10-15,49.16
Mardin,2027-01-15,52.52
Mardin,2027-04-15,53.62
Mardin,2027-07-15,40.09
Mardin,2027-10-15,46.37
Şanlıurfa,2027-01-15,53.88
Şanlıurfa,2027-04-15,52.81
Şanlıurfa,2027-07-15,43.87
Şanlıurfa,2027-10-15,49.58
Siirt,2027-01-15,58.02
Siirt,2027-04-15,53.01
Siirt,2027-07-15,44.01
Siirt,2027-10-15,49.3
Şırnak,2027-01-15,59.38
Şırnak,2027-04-15,57.01
Şırnak,2027-07-15,45.06
Şırnak,2027-10-15,51.35
Adana,2027-01-15,55.33
Adana,2027-04-15,54.22
Adana,2027-07-15,46.64
Adana,2027-10-15,50.03
