sehir,tarih,aylik_ortalama_ecopulse
Adana,2020-01,60.07
Adana,2020-02,58.05
Adana,2020-03,58.1
Adana,2020-04,57.69
Adana,2020-05,54.11
Adana,2020-06,52.86
Adana,2020-07,51.35
Adana,2020-08,50.03
Adana,2020-09,50.71
Adana,2020-10,54.37
Adana,2020-11,55.68
Adana,2020-12,57.89
Adana,2021-01,60.09
Adana,2021-02,57.31
Adana,2021-03,57.9
Adana,2021-04,54.9
Adana,2021-05,51.02
Adana,2021-06,45.55
Adana,2021-07,51.78
Adana,2021-08,50.23
Adana,2021-09,51.6
Adana,2021-10,49.54
Adana,2021-11,50.67
Adana,2021-12,60.02
Adana,2022-01,59.11
Adana,2022-02,60.57
Adana,2022-03,58.12
Adana,2022-04,55.72
Adana,2022-05,54.69
Adana,2022-06,52.27
Adana,2022-07,47.96
Adana,2022-08,47.41
Adana,2022-09,51.11
Adana,2022-10,51.59
Adana,2022-11,52.36
Adana,2022-12,55.9
Adana,2023-01,55.25
Adana,2023-02,59.4
Adana,2023-03,64.21
Adana,2023-05,61.09
Adana,2023-07,46.99
Adana,2023-08,52.78
Adana,2023-09,50.17
Adana,2023-10,53.4
Adana,2023-11,56.5
Adana,2023-12,54.65
Adana,2024-01,55.83
Adana,2024-02,51.05
Adana,2024-03,53.95
Adana,2024-04,52.87
Adana,2024-06,44.68
Adana,2024-07,48.36
Adana,2024-08,52.49
Adana,2024-09,48.53
Adana,2024-10,50.89
Adana,2024-11,53.95
Adana,2024-12,58.64
Adana,2025-01,57.46
Adana,2025-02,58.42
Adana,2025-03,53.3
Adana,2025-04,56.15
Adana,2025-05,52.26
Adıyaman,2020-01,58.39
Adıyaman,2020-02,55.64
Adıyaman,2020-03,54.98
Adıyaman,2020-04,53.79
Adıyaman,2020-05,48.08
Adıyaman,2020-06,45.74
Adıyaman,2020-07,45.33
Adıyaman,2020-08,43.99
Adıyaman,2020-09,47.21
Adıyaman,2020-10,47.93
Adıyaman,2020-11,53.43
Adıyaman,2020-12,56.21
Adıyaman,2021-01,56.96
Adıyaman,2021-02,55.06
Adıyaman,2021-03,56.9
Adıyaman,2021-04,52.86
Adıyaman,2021-05,47.3
Adıyaman,2021-06,49.03
Adıyaman,2021-07,44.78
Adıyaman,2021-08,45.58
Adıyaman,2021-09,46.38
Adıyaman,2021-10,48.26
Adıyaman,2021-11,51.06
Adıyaman,2021-12,57.56
Adıyaman,2022-01,59.11
Adıyaman,2022-02,57.63
Adıyaman,2022-03,56.94
Adıyaman,2022-04,55.57
Adıyaman,2022-05,49.62
Adıyaman,2022-06,47.43
Adıyaman,2022-07,43.08
Adıyaman,2022-08,45.37
Adıyaman,2022-09,45.45
Adıyaman,2022-10,50.65
Adıyaman,2022-11,50.52
Adıyaman,2022-12,54.89
Adıyaman,2023-01,55.79
Adıyaman,2023-02,60.33
Adıyaman,2023-03,57.3
Adıyaman,2023-04,56.76
Adıyaman,2023-05,52.95
